meeting,date,flag,flag_note,flag_source,intervention_id,speaker,speaker_clean,time,time_start,time_end,time_delta,tape,side,note,orig_lang,text,text_english
1,9/13/1988,OK,,"T, P",11,The Chairman,Jaques Delors,137 - 159,137,159,22,1,1,,EN,"I don't intend to send the bill to the Bundesbank!

As the members of the Committee agree to the discussions being recorded, is this possible right away?

In order to save time I am going to abstain from introducing the discussion. Having consulted all the members of the Committee and having heard you earlier on, and having noticed that you refer time and again to the Werner Report, and in particular to the definition of economic and monetary union contained therein, I thought that perhaps it would be a good idea to look at the contents of this report, at what followed the report and the reasons why the objectives contained in this report were not reached. I think it would be a good starting point for the unavoidable brainstorming we have to engage in at the beginning on the basis of a two-fold, or rather treble, experience. ...","I don't intend to send the bill to the Bundesbank!

As the members of the Committee agree to the discussions being recorded, is this possible right away?

In order to save time I am going to abstain from introducing the discussion. Having consulted all the members of the Committee and having heard you earlier on, and having noticed that you refer time and again to the Werner Report, and in particular to the definition of economic and monetary union contained therein, I thought that perhaps it would be a good idea to look at the contents of this report, at what followed the report and the reasons why the objectives contained in this report were not reached. I think it would be a good starting point for the unavoidable brainstorming we have to engage in at the beginning on the basis of a two-fold, or rather treble, experience. ..."
1,9/13/1988,missing,transcription,"P, B",12,,Alexandre Lamfalussy,160 - 456 ,160,456,148,,,time inferred,,,
1,9/13/1988,missing,transcription,"P, B",13,,Pierre Jaans,160 - 456 ,160,456,148,,,time inferred,,,
1,9/13/1988,OK,,"T, P, B",14,The Rt. Hon. Robert Leigh-Pemberton,Robin Leigh-Pemberton,457 - 496,457,496,39,1,1,,EN,"... Some temptation exists then in my opinion, in the absence of progress in those areas, for perhaps excessive emphasis to be placed by politicians on monetary and exchange rate co-operation. May I just say that I am firmly of the view that if in fact progress is to be made it has got to be parallel progress with monetary and exchange rate co-operation on the one side and economic progress on the other. I think for these reasons we need to be on our guard, therefore, against attempts to force the pace of monetary integration, particularly towards the premature blocking of parities which a union would imply. I don't say that I am against monetary integration, I am arguing about forcing the pace of it. I think the risk arises because this aspect of economic and monetary union is probably technically easier to define and to effect than economic conversions. There are therefore clear political temptations to go out for it in the hope that once it is achieved the other necessary successful elements of EMU will follow. In short, an attempt to force monetary union ahead of economic and even political union has the danger perhaps of failing, and to that extent possibly even discrediting monetary union. In these circumstances I find myself inclined towards the step-by-step approach, not the ""petit pas"", the tiny steps necessarily, they could be substantial steps, but steps they need to be even though they may be less glamorous and concentrate on steady consolidation of successive advances on all fronts instead of what one might call a dash for the grand"" concept. May I just emphasise again the importance that I attach to what I call ""parallelism"", if I can use that word to describe progress being made at roughly the same pace towards economic union as it is made towards monetary integration. I hope that those few expressions of principle, Mr. Chairman, put a slant onto Werner as I look at it now which my colleagues may find helpful.","... Some temptation exists then in my opinion, in the absence of progress in those areas, for perhaps excessive emphasis to be placed by politicians on monetary and exchange rate co-operation. May I just say that I am firmly of the view that if in fact progress is to be made it has got to be parallel progress with monetary and exchange rate co-operation on the one side and economic progress on the other. I think for these reasons we need to be on our guard, therefore, against attempts to force the pace of monetary integration, particularly towards the premature blocking of parities which a union would imply. I don't say that I am against monetary integration, I am arguing about forcing the pace of it. I think the risk arises because this aspect of economic and monetary union is probably technically easier to define and to effect than economic conversions. There are therefore clear political temptations to go out for it in the hope that once it is achieved the other necessary successful elements of EMU will follow. In short, an attempt to force monetary union ahead of economic and even political union has the danger perhaps of failing, and to that extent possibly even discrediting monetary union. In these circumstances I find myself inclined towards the step-by-step approach, not the ""petit pas"", the tiny steps necessarily, they could be substantial steps, but steps they need to be even though they may be less glamorous and concentrate on steady consolidation of successive advances on all fronts instead of what one might call a dash for the grand"" concept. May I just emphasise again the importance that I attach to what I call ""parallelism"", if I can use that word to describe progress being made at roughly the same pace towards economic union as it is made towards monetary integration. I hope that those few expressions of principle, Mr. Chairman, put a slant onto Werner as I look at it now which my colleagues may find helpful."
1,9/13/1988,OK,,"T, P, B",15,Dr. W.F. Duisenberg ,Wim Duisenberg,508 - 594,508,594,86,1,1,,EN,"... Economic union to me is more than the internal market alone when all physical barriers have disappeared. Economic union, because monetary union affectively implies having one currency, implies also co-ordination or at least a degree of centralisation of policies in other areas, i.e. in budgetary and fiscal policy. That is part of economic union. From the outset, I agree with Leigh-Pemberton that economic and monetary union is the end phase, that is what we have to strive at, and I am not against the step-by-step approach towards that end, however long it may take. But the end should be clear in our minds, that is the first thing for us to do. ...

... The years that have passed and the experience that we have gained have clearly enhanced the chances of realising Werner after all. Weaknesses are in particular in the domain of policies where towards the end of economic and monetary union a degree of centralisation is necessary, but where it cannot be denied we have deep differences of opinion on the nature and the measure wherein there has to be a transfer of sovereignty to a centralised institution, whether it be in a federal form or completely centralised. The analysis rightly states that with the transfer of monetary authorities, the institutional arrangements have been inadequately precisely defined, and that has been a hindrance to progress in this area. For example, the FECOM is under the right of directives of the Council of Ministers and for that reason maybe the FECOM has not been the success which had been envisaged. ... 

... The co-ordination of monetary policy is also severely hindered by insufficient convergence of government finance, whether the result that too large government deficits or the ways in which they are being financed in a number of countries - my own perhaps not being excluded - are a severe hindrance for the further co-ordination of monetary policy. Identification of monetary co-ordination cannot solve this problem, then you need to go further. If you try to do that through monetary policy only, it would create interest rate differentials which could be enormous and which would create political tensions in the Community and which would be detrimental economically speaking. We all know through our experiences that monetary policy alone cannot carry the burden on its own and that budgetary policy has to give its contribution. The existing procedures of co-ordination are too free, we need more centralisation there and the transfer for sovereignty. That is the end goal to which we, I think, have to work and once we have defined that end goal I am not at all against a step-by-step approach as long as we know what we are doing and what we are working for, aiming at.
","... Economic union to me is more than the internal market alone when all physical barriers have disappeared. Economic union, because monetary union affectively implies having one currency, implies also co-ordination or at least a degree of centralisation of policies in other areas, i.e. in budgetary and fiscal policy. That is part of economic union. From the outset, I agree with Leigh-Pemberton that economic and monetary union is the end phase, that is what we have to strive at, and I am not against the step-by-step approach towards that end, however long it may take. But the end should be clear in our minds, that is the first thing for us to do. ...

... The years that have passed and the experience that we have gained have clearly enhanced the chances of realising Werner after all. Weaknesses are in particular in the domain of policies where towards the end of economic and monetary union a degree of centralisation is necessary, but where it cannot be denied we have deep differences of opinion on the nature and the measure wherein there has to be a transfer of sovereignty to a centralised institution, whether it be in a federal form or completely centralised. The analysis rightly states that with the transfer of monetary authorities, the institutional arrangements have been inadequately precisely defined, and that has been a hindrance to progress in this area. For example, the FECOM is under the right of directives of the Council of Ministers and for that reason maybe the FECOM has not been the success which had been envisaged. ... 

... The co-ordination of monetary policy is also severely hindered by insufficient convergence of government finance, whether the result that too large government deficits or the ways in which they are being financed in a number of countries - my own perhaps not being excluded - are a severe hindrance for the further co-ordination of monetary policy. Identification of monetary co-ordination cannot solve this problem, then you need to go further. If you try to do that through monetary policy only, it would create interest rate differentials which could be enormous and which would create political tensions in the Community and which would be detrimental economically speaking. We all know through our experiences that monetary policy alone cannot carry the burden on its own and that budgetary policy has to give its contribution. The existing procedures of co-ordination are too free, we need more centralisation there and the transfer for sovereignty. That is the end goal to which we, I think, have to work and once we have defined that end goal I am not at all against a step-by-step approach as long as we know what we are doing and what we are working for, aiming at.
"
1,9/13/1988,OK,,"T, P, B",16,Mr. M. Boyer,Miguel Boyer,651 - 690,651,690,39,1,1,,EN,"... Since we are moving very quickly from the analysis of the Werner Report to an analysis of the existing situation, it seems to me that we should begin by selecting a modest approach, not a maximalistic approach but a minimalistic approach. We do not yet have enough of an impulse in respect of our ultimate objectives - single currency, European Central Bank, fixed exchange rates. What we have is a set of political decisions and from these political decisions we have to deduce monetary consequences. The liberalisation of capital movements will expose the European Monetary System to shocks which will be much greater than any shocks encountered by the system since 1979. Therefore, one has a feeling that one has to move forward, but not so much towards an objective which will give rise to political disagreement, but rather to generate a development which will be capable of ensuring that the system will at least operate as well as it has in the recent past, and that it will be capable of absorbing the shocks which will result from the liberalisation of capital movement - speculation, etc. Thus, if one wonders if one wishes to go all out for a quantum leap or whether that would be dangerous, whether a more modest approach is to be preferred, it seems to me that the latter is to be preferred - to move very modestly and carefully forward. As we do this there will be different alternatives, different concepts as to what is a minimum requirement and what, on the other hand, is perhaps not the absolute minimum requirement but something over and above that. Then one might also consider the more distant political future. It seems to me that our starting point now is not that we have to converge towards an economic and monetary union which is clearly defined, but rather to try and identify the monetary consequences of the political decisions that have already been made, i.e. liberalisation of capital movements and the single market. It is after this analysis that we will probably be able to embark on a discussion of the next stages - steps large or small - towards the ultimate goal.","... Since we are moving very quickly from the analysis of the Werner Report to an analysis of the existing situation, it seems to me that we should begin by selecting a modest approach, not a maximalistic approach but a minimalistic approach. We do not yet have enough of an impulse in respect of our ultimate objectives - single currency, European Central Bank, fixed exchange rates. What we have is a set of political decisions and from these political decisions we have to deduce monetary consequences. The liberalisation of capital movements will expose the European Monetary System to shocks which will be much greater than any shocks encountered by the system since 1979. Therefore, one has a feeling that one has to move forward, but not so much towards an objective which will give rise to political disagreement, but rather to generate a development which will be capable of ensuring that the system will at least operate as well as it has in the recent past, and that it will be capable of absorbing the shocks which will result from the liberalisation of capital movement - speculation, etc. Thus, if one wonders if one wishes to go all out for a quantum leap or whether that would be dangerous, whether a more modest approach is to be preferred, it seems to me that the latter is to be preferred - to move very modestly and carefully forward. As we do this there will be different alternatives, different concepts as to what is a minimum requirement and what, on the other hand, is perhaps not the absolute minimum requirement but something over and above that. Then one might also consider the more distant political future. It seems to me that our starting point now is not that we have to converge towards an economic and monetary union which is clearly defined, but rather to try and identify the monetary consequences of the political decisions that have already been made, i.e. liberalisation of capital movements and the single market. It is after this analysis that we will probably be able to embark on a discussion of the next stages - steps large or small - towards the ultimate goal."
1,9/13/1988,OK,,"T, P, B",17,Dott. C.A. Ciampi,Carlo Azeglio Ciampi,766 - 774,766,774,8,1,1,,EN,"... It seems to me, therefore, that the first such intermediate step would have to be something which would show clearly that the system as it exists today and which we have to consolidate, bearing in mind all the dangers referred to by Prof. Boyer, we will have to propose something which will enable clearly the system to grow still further so as to generate even more confidence in what we are doing, indicating that we know where we are going and that we know how we are going there.","... It seems to me, therefore, that the first such intermediate step would have to be something which would show clearly that the system as it exists today and which we have to consolidate, bearing in mind all the dangers referred to by Prof. Boyer, we will have to propose something which will enable clearly the system to grow still further so as to generate even more confidence in what we are doing, indicating that we know where we are going and that we know how we are going there."
1,9/13/1988,missing,transcription,"P, B",18,,Frans Andriessen,775 - 863 ,775,863,88,,,,,,
1,9/13/1988,OK,,T,19,Herrn K.-O. Pöhl,Karl Otto Pöhl,864 - 910,864,910,46,1,1,,EN,"... There are several points in the Werner Report which I think are still valid. One is the emphasis, which has been rightly said by previous speakers already, on parallelism. This is very important, particularly for central bankers (and I am very grateful Carlo that you said it), that we need of course, if we want to come nearer to an economic and monetary union, much closer co-operation and co-ordination, not only of monetary policies, where I think we have made more progress than in other areas, but we need that also in fiscal policy, in demand management policies and in macro-economic policies as a whole. We have enormous imbalances. in some areas, the real economy that is the real problem not the lack of credit facilities, etc. So we have to emphasise in our report (I hope that we can reach agreement on that point) what has been said already in the Werner Report, that you need progress on all levels so to say of co-ordination. That can, of course, also have institutional consequences, not only in the field of monetary policy (we are talking about the European Central Bank, etc.) but what about institutional provisions for a better co-ordination of fiscal policy, regional policies. Is it conceivable, for instance, to have a system with exchange rates which cannot be changed any more or only under very restrictive conditions without having a very developed system of what we call in German ""Finanzausgleich"" - I don't know whether there is an English word for that - transfers of financial resources. For instance, that is something I would be prepared to subscribe to in the common report in order to make the politicians and the heads of governments aware of the consequences of a more fixed exchange rate system. This is one element of the Werner Report which I think is still valid and
which we can still use.

The other one - and I think we should use that as a starting point for our report - is the definition of what we are aiming for. We need something like that, we have the final goal is before we talk about steps to get there. I fully agree with what you said, Robin, of course, we should not have any illusions, and I think none of us has any illusions about what is possible. Before we talk about the steps to come to monetary and economic union we have to know what it means and I think the Werner Report provides us with a very good definition both of the economic union and the monetary union. The definition of a monetary union is very simple but still valid: it is free movement of capital, full convertibility of currencies and irreversible fixing of exchange rates. This is a very simple definition but it has of course enormous consequences if you take it seriously. We should start with that definition and from there we can maybe find some proposals, hopefully we can make some proposals, as to how we can get a little closer to this final stage. I don't want to discuss that at this stage already.","... There are several points in the Werner Report which I think are still valid. One is the emphasis, which has been rightly said by previous speakers already, on parallelism. This is very important, particularly for central bankers (and I am very grateful Carlo that you said it), that we need of course, if we want to come nearer to an economic and monetary union, much closer co-operation and co-ordination, not only of monetary policies, where I think we have made more progress than in other areas, but we need that also in fiscal policy, in demand management policies and in macro-economic policies as a whole. We have enormous imbalances. in some areas, the real economy that is the real problem not the lack of credit facilities, etc. So we have to emphasise in our report (I hope that we can reach agreement on that point) what has been said already in the Werner Report, that you need progress on all levels so to say of co-ordination. That can, of course, also have institutional consequences, not only in the field of monetary policy (we are talking about the European Central Bank, etc.) but what about institutional provisions for a better co-ordination of fiscal policy, regional policies. Is it conceivable, for instance, to have a system with exchange rates which cannot be changed any more or only under very restrictive conditions without having a very developed system of what we call in German ""Finanzausgleich"" - I don't know whether there is an English word for that - transfers of financial resources. For instance, that is something I would be prepared to subscribe to in the common report in order to make the politicians and the heads of governments aware of the consequences of a more fixed exchange rate system. This is one element of the Werner Report which I think is still valid and
which we can still use.

The other one - and I think we should use that as a starting point for our report - is the definition of what we are aiming for. We need something like that, we have the final goal is before we talk about steps to get there. I fully agree with what you said, Robin, of course, we should not have any illusions, and I think none of us has any illusions about what is possible. Before we talk about the steps to come to monetary and economic union we have to know what it means and I think the Werner Report provides us with a very good definition both of the economic union and the monetary union. The definition of a monetary union is very simple but still valid: it is free movement of capital, full convertibility of currencies and irreversible fixing of exchange rates. This is a very simple definition but it has of course enormous consequences if you take it seriously. We should start with that definition and from there we can maybe find some proposals, hopefully we can make some proposals, as to how we can get a little closer to this final stage. I don't want to discuss that at this stage already."
1,9/13/1988,OK,,T,20,Mr. M. Rubio,Mariano Rubio,932 - 966,932,966,34,1,1,,EN,"... The second point I wanted to make is that it is quite clear that if we don't have a clear view of the final objective then I think we cannot draw a common view. I think that that is no longer the case. We have a clear view of what we would like to do, clearer than we had then. We also know exactly what effort that entails, but I do know that it will be difficult to reach this aim of economic and monetary union. As I said we have to have a clear definition. From the Werner Report we know what the objective is supposed to be. It is quite clear, therefore, that we will have to take certain steps, but these steps, as Governor Ciampi said, should be steps that will allow us or even force us to take further steps forward. That brings me to the point of the timetable. It is quite clear that if we have a timetable, the timetable has to have a certain rigidity. If it is too rigid it can be counterproductive because if we cannot stick to the timetable as we had fixed it for ourselves, that means that the project which we were supposed to achieve through the timetable might be endangered as well. You have to have certain constraints, certain obligations here, because if you don't say anything as to what you want to do by when, then the whole thing becomes totally vague and it will not be implemented at all. The progress we have made in the Community so far I think has shown us that you could not always make progress everywhere at the same time, that is absolutely impossible. You cannot make the same sort of progress in the same way simultaneously with the same number of steps for all areas where you want to reach progress. I think in the Community so far we have seen that it was possible to take steps to institute mechanisms which then led us to make progress in other areas as well. If we look at all this and if we then ask ourselves what steps do we have to take in order to ensure this convergence of economic policies, we see immediately that it is a rather difficult task we have fixed ourselves. What we can do at least is to try and establish certain mechanisms which will then force us towards greater convergence in all areas of economic policy. I think that there we will probably have to follow the example of other small-step procedures. Look at the European Monetary System, that was also in a small-steps procedure perspective. Firstly, you took one small step where you had no institutional implications involved, but this first small step later on led to a greater convergence of the economic policies of the various member countries and that in itself would have been quite difficult to foresee without that first step.","... The second point I wanted to make is that it is quite clear that if we don't have a clear view of the final objective then I think we cannot draw a common view. I think that that is no longer the case. We have a clear view of what we would like to do, clearer than we had then. We also know exactly what effort that entails, but I do know that it will be difficult to reach this aim of economic and monetary union. As I said we have to have a clear definition. From the Werner Report we know what the objective is supposed to be. It is quite clear, therefore, that we will have to take certain steps, but these steps, as Governor Ciampi said, should be steps that will allow us or even force us to take further steps forward. That brings me to the point of the timetable. It is quite clear that if we have a timetable, the timetable has to have a certain rigidity. If it is too rigid it can be counterproductive because if we cannot stick to the timetable as we had fixed it for ourselves, that means that the project which we were supposed to achieve through the timetable might be endangered as well. You have to have certain constraints, certain obligations here, because if you don't say anything as to what you want to do by when, then the whole thing becomes totally vague and it will not be implemented at all. The progress we have made in the Community so far I think has shown us that you could not always make progress everywhere at the same time, that is absolutely impossible. You cannot make the same sort of progress in the same way simultaneously with the same number of steps for all areas where you want to reach progress. I think in the Community so far we have seen that it was possible to take steps to institute mechanisms which then led us to make progress in other areas as well. If we look at all this and if we then ask ourselves what steps do we have to take in order to ensure this convergence of economic policies, we see immediately that it is a rather difficult task we have fixed ourselves. What we can do at least is to try and establish certain mechanisms which will then force us towards greater convergence in all areas of economic policy. I think that there we will probably have to follow the example of other small-step procedures. Look at the European Monetary System, that was also in a small-steps procedure perspective. Firstly, you took one small step where you had no institutional implications involved, but this first small step later on led to a greater convergence of the economic policies of the various member countries and that in itself would have been quite difficult to foresee without that first step."
